Commodity,Mandi,State,District,Date,Price,Min_Price,Max_Price
Thondekai,Gauribidanur APMC,Karnataka,Chikkaballapur,2026-06-27,2500,2000,3000
Raddish,Bangarpet APMC,Karnataka,Kolar,2026-06-27,1000,500,1500
Coconut,Kundapura APMC,Karnataka,Udupi,2026-06-27,17000,16000,18000
Arecanut(Betelnut/Supari),Hiriyur APMC,Karnataka,Chitradurga,2026-06-27,25000,25000,25000
Banana - Green,Kundapura APMC,Karnataka,Udupi,2026-06-27,6000,5000,7000
Beans,Chikkamagaluru APMC,Karnataka,Chikkamagaluru,2026-06-27,5200,5200,5200
Beans,Bangarpet APMC,Karnataka,Kolar,2026-06-27,6500,5000,6800
Mataki,Gadag APMC,Karnataka,Gadag,2026-06-27,7111,4009,10212
Soyabean,Bhalki APMC,Karnataka,Bidar,2026-06-27,6642,6200,6759
Soyabean,Laxmeshwar APMC,Karnataka,Gadag,2026-06-27,5580,5580,5580
Onion,Gauribidanur APMC,Karnataka,Chikkaballapur,2026-06-27,2000,1500,2500
Onion,Bangarpet APMC,Karnataka,Kolar,2026-06-27,1500,1000,1700
Rice,Bidar APMC,Karnataka,Bidar,2026-06-27,5000,4800,5600
Wheat,Talikot APMC,Karnataka,Vijayapura,2026-06-27,2539,2511,2600
Potato,Bangarpet APMC,Karnataka,Kolar,2026-06-27,700,300,1000
Potato,Gauribidanur APMC,Karnataka,Chikkaballapur,2026-06-27,2000,1500,2500
Wheat,Laxmeshwar APMC,Karnataka,Gadag,2026-06-27,2175,2175,2175
Ground Nut Seed,Hiriyur APMC,Karnataka,Chitradurga,2026-06-27,11935,11935,11935
Chilly Capsicum,Bangarpet APMC,Karnataka,Kolar,2026-06-27,3600,3000,3800
Knool Khol,Bangarpet APMC,Karnataka,Kolar,2026-06-27,2100,1300,2800
Green Chilli,Gauribidanur APMC,Karnataka,Chikkaballapur,2026-06-27,4000,3500,4500
Green Chilli,Bangarpet APMC,Karnataka,Kolar,2026-06-27,2300,1500,2500
Bengal Gram(Gram)(Whole),Gadag APMC,Karnataka,Gadag,2026-06-27,5796,4124,6125
Jowar(Sorghum),Hubballi APMC,Karnataka,Dharwad,2026-06-27,3598,2456,4539
Bitter gourd,Bangarpet APMC,Karnataka,Kolar,2026-06-27,1300,1100,2200
Potato,Chikkamagaluru APMC,Karnataka,Chikkamagaluru,2026-06-27,1700,1600,1800
Black Gram(Urd Beans)(Whole),Bidar APMC,Karnataka,Bidar,2026-06-27,6792,5111,7525
Potato,Hubballi APMC,Karnataka,Dharwad,2026-06-27,1600,1200,1800
Mustard,Gadag APMC,Karnataka,Gadag,2026-06-27,5301,5301,5301
Groundnut,Hubballi APMC,Karnataka,Dharwad,2026-06-27,2383,700,5116
Bengal Gram(Gram)(Whole),Ramdurga APMC,Karnataka,Belagavi,2026-06-27,6009,6009,6009
Maize,Ramdurga APMC,Karnataka,Belagavi,2026-06-27,2311,2311,2311
Bengal Gram(Gram)(Whole),Hubballi APMC,Karnataka,Dharwad,2026-06-27,4330,3649,5849
Maize,Challakere APMC,Karnataka,Chitradurga,2026-06-27,2486,2450,2601
Raddish,Gauribidanur APMC,Karnataka,Chikkaballapur,2026-06-27,2000,1500,2500
Arecanut(Betelnut/Supari),Shimoga(Theertahalli) APMC,Karnataka,Shivamogga,2026-06-27,50509,38569,52729
Arecanut(Betelnut/Supari),Shimoga(Theertahalli) APMC,Karnataka,Shivamogga,2026-06-27,39580,36199,40455
Capsicum,Bangarpet APMC,Karnataka,Kolar,2026-06-27,3500,3000,3800
Red gram/Arhar/Tur(whole),Bidar APMC,Karnataka,Bidar,2026-06-27,7531,5711,7900
Tomato,Chikkamagaluru APMC,Karnataka,Chikkamagaluru,2026-06-27,2200,2100,2300
Tomato,Bangarpet APMC,Karnataka,Kolar,2026-06-27,1300,600,2200
Bengal Gram(Gram)(Whole),Talikot APMC,Karnataka,Vijayapura,2026-06-27,5001,5001,5001
Bengal Gram(Gram)(Whole),Bhalki APMC,Karnataka,Bidar,2026-06-27,5694,5156,5800
Jowar(Sorghum),Bidar APMC,Karnataka,Bidar,2026-06-27,4000,3000,4500
Ginger(Green),Bangarpet APMC,Karnataka,Kolar,2026-06-27,7000,6000,7500
Beans,Gauribidanur APMC,Karnataka,Chikkaballapur,2026-06-27,4500,3500,5000
Mataki,Hubballi APMC,Karnataka,Dharwad,2026-06-27,3009,3009,3009
Knool Khol,Gauribidanur APMC,Karnataka,Chikkaballapur,2026-06-27,2500,2000,3000
Alasande Gram,Hubballi APMC,Karnataka,Dharwad,2026-06-27,4382,2550,4629
Carrot,Gauribidanur APMC,Karnataka,Chikkaballapur,2026-06-27,3500,3000,4000
Bitter gourd,Gauribidanur APMC,Karnataka,Chikkaballapur,2026-06-27,2500,2000,3000
Tender Coconut,Pandavapura APMC,Karnataka,Mandya,2026-06-27,25000,24000,26000
Tender Coconut,Mandya APMC,Karnataka,Mandya,2026-06-27,25000,10000,43430
Green Gram(Moong)(Whole),Laxmeshwar APMC,Karnataka,Gadag,2026-06-27,3225,3225,3225
Groundnut,Gadag APMC,Karnataka,Gadag,2026-06-27,6863,4506,8149
Black Gram(Urd Beans)(Whole),Hubballi APMC,Karnataka,Dharwad,2026-06-27,5494,4110,6229
Cabbage,Gauribidanur APMC,Karnataka,Chikkaballapur,2026-06-27,1500,1000,1800
Soyabean,Bidar APMC,Karnataka,Bidar,2026-06-27,6841,5711,6950
Onion,Chikkamagaluru APMC,Karnataka,Chikkamagaluru,2026-06-27,1900,1800,2000
Chapparad Avare,Gauribidanur APMC,Karnataka,Chikkaballapur,2026-06-27,2000,1500,2200
Dry Chillies,Hubballi APMC,Karnataka,Dharwad,2026-06-27,20128,6900,56199
Lime,Gauribidanur APMC,Karnataka,Chikkaballapur,2026-06-27,3500,3000,4000
Maize,Hubballi APMC,Karnataka,Dharwad,2026-06-27,1715,1406,2023
Red gram/Arhar/Tur(whole),Bhalki APMC,Karnataka,Bidar,2026-06-27,7591,6526,7713
Drumstick,Bangarpet APMC,Karnataka,Kolar,2026-06-27,6000,5000,6300
Bengal Gram(Gram)(Whole),Bidar APMC,Karnataka,Bidar,2026-06-27,5784,5400,6093
Bengal Gram(Gram)(Whole),Basava Kalayana APMC,Karnataka,Bidar,2026-06-27,5750,5750,5750
Jowar(Sorghum),Gadag APMC,Karnataka,Gadag,2026-06-27,4383,1544,5413
Tomato,Gauribidanur APMC,Karnataka,Chikkaballapur,2026-06-27,2200,1500,2600
Soyabean,Hubballi APMC,Karnataka,Dharwad,2026-06-27,6786,1509,7049
Green Gram(Moong)(Whole),Gadag APMC,Karnataka,Gadag,2026-06-27,4576,2765,7011
